Perioden,Jaar,Maand,CPI_energie,CPI_energie-100,CPI(afgeleid)_energie ,CPI_algemeen,CPI(algemeen)_afgeleid,CPI_elektriciteit,CPI(elektriciteit)_afgeleid,CPI_gas,CPI(gas)_afgeleid,CPI_energiejaarlijks
2000 januari,2000,januari,52.22,-47.78,65.2,73.55,77.17,69.63,78.38,43.7,57.67,9.3
2000 februari,2000,februari,52.29,-47.71,65.28,74.0,77.64,69.84,78.62,43.69,57.66,9.4
2000 maart,2000,maart,52.73,-47.27,65.84,74.66,78.33,71.36,80.33,43.62,57.56,10.3
2000 april,2000,april,52.74,-47.26,65.85,74.78,78.46,71.38,80.35,43.62,57.56,10.7
2000 mei,2000,mei,52.74,-47.26,65.85,75.02,78.69,71.38,80.35,43.62,57.56,10.7
2000 juni,2000,juni,52.74,-47.26,65.85,74.94,78.62,71.38,80.35,43.62,57.56,10.7
2000 juli,2000,juli,54.71,-45.29,68.31,74.75,78.41,72.78,81.94,45.86,60.52,17.4
2000 augustus,2000,augustus,54.71,-45.29,68.31,75.08,78.75,72.78,81.94,45.86,60.52,17.4
2000 september,2000,september,54.68,-45.32,68.27,75.99,79.7,72.71,81.85,45.85,60.51,17.4
2000 oktober,2000,oktober,55.02,-44.98,68.7,76.12,79.84,73.99,83.29,45.74,60.36,18.1
2000 november,2000,november,55.08,-44.92,68.77,76.11,79.83,74.06,83.37,45.79,60.42,17.9
2000 december,2000,december,55.08,-44.92,68.77,75.66,79.36,74.06,83.37,45.79,60.42,17.9
2001 januari,2001,januari,62.13,-37.87,70.56,76.31,79.25,84.49,83.31,51.19,63.28,19.0
2001 februari,2001,februari,62.13,-37.87,70.56,76.98,79.91,84.49,83.31,51.19,63.28,18.8
2001 maart,2001,maart,62.13,-37.87,70.56,77.7,80.67,84.49,83.31,51.19,63.28,17.8
2001 april,2001,april,60.14,-39.86,68.11,78.13,81.12,78.74,76.92,51.02,63.06,14.0
2001 mei,2001,mei,60.14,-39.86,68.11,78.39,81.39,78.74,76.92,51.02,63.06,14.0
2001 juni,2001,juni,60.14,-39.86,68.11,78.09,81.07,78.74,76.92,51.02,63.06,14.0
2001 juli,2001,juli,62.91,-37.09,71.52,77.98,80.99,82.42,81.01,53.34,66.09,15.0
2001 augustus,2001,augustus,62.91,-37.09,71.52,78.27,81.28,82.42,81.01,53.34,66.09,15.0
2001 september,2001,september,62.91,-37.09,71.52,79.23,82.27,82.42,81.01,53.34,66.09,15.1
2001 oktober,2001,oktober,62.47,-37.53,70.98,79.15,82.18,81.09,79.53,53.34,66.09,13.5
2001 november,2001,november,62.47,-37.53,70.98,79.05,82.08,81.09,79.53,53.34,66.09,13.4
2001 december,2001,december,62.47,-37.53,70.98,78.81,81.84,81.09,79.53,53.34,66.09,13.4
2002 januari,2002,januari,64.33,-35.67,72.29,79.38,82.37,81.63,78.77,55.84,68.58,3.5
2002 februari,2002,februari,64.33,-35.67,72.29,79.81,82.82,81.63,78.77,55.84,68.58,3.5
2002 maart,2002,maart,64.32,-35.68000000000001,72.27,80.52,83.55,81.59,78.72,55.84,68.58,3.5
2002 april,2002,april,64.32,-35.68000000000001,72.27,80.9,83.94,81.59,78.72,55.84,68.58,7.0
