,ID,Perioden,NettoVerbruikBerekend_30
288,455,2000MM01,8847
289,456,2000MM02,8235
290,457,2000MM03,8738
291,459,2000MM04,7912
292,460,2000MM05,8221
293,461,2000MM06,7822
294,463,2000MM07,8006
295,464,2000MM08,8119
296,465,2000MM09,8217
297,467,2000MM10,8749
298,468,2000MM11,8892
299,469,2000MM12,8844
300,472,2001MM01,9267
301,473,2001MM02,8266
302,474,2001MM03,8962
303,476,2001MM04,8156
304,477,2001MM05,8304
305,478,2001MM06,8105
306,480,2001MM07,8291
307,481,2001MM08,8470
308,482,2001MM09,8428
309,484,2001MM10,9064
310,485,2001MM11,8968
311,486,2001MM12,9216
312,489,2002MM01,9354
313,490,2002MM02,8383
314,491,2002MM03,8956
315,493,2002MM04,8288
316,494,2002MM05,8361
317,495,2002MM06,8220
318,497,2002MM07,8372
319,498,2002MM08,8534
320,499,2002MM09,8398
321,501,2002MM10,8957
322,502,2002MM11,9012
323,503,2002MM12,9325
324,506,2003MM01,9693
325,507,2003MM02,8644
326,508,2003MM03,9032
327,510,2003MM04,8349
328,511,2003MM05,8408
329,512,2003MM06,8235
330,514,2003MM07,8389
331,515,2003MM08,8416
332,516,2003MM09,8484
333,518,2003MM10,9173
334,519,2003MM11,9154
335,520,2003MM12,9552
336,523,2004MM01,9619
337,524,2004MM02,8992
338,525,2004MM03,9416
339,527,2004MM04,8678
340,528,2004MM05,8563
341,529,2004MM06,8547
342,531,2004MM07,8746
343,532,2004MM08,8644
344,533,2004MM09,8734
345,535,2004MM10,9232
346,536,2004MM11,9418
347,537,2004MM12,9934
348,540,2005MM01,9981
349,541,2005MM02,9066
350,542,2005MM03,9846
351,544,2005MM04,8661
352,545,2005MM05,8719
353,546,2005MM06,8816
354,548,2005MM07,8695
355,549,2005MM08,8650
356,550,2005MM09,8907
357,552,2005MM10,9457
358,553,2005MM11,9461
359,554,2005MM12,10042
360,557,2006MM01,10354
361,558,2006MM02,9163
362,559,2006MM03,10139
363,561,2006MM04,8679
364,562,2006MM05,8951
365,563,2006MM06,8759
366,565,2006MM07,9088
367,566,2006MM08,8729
368,567,2006MM09,8872
369,569,2006MM10,9433
370,570,2006MM11,9618
371,571,2006MM12,10019
372,574,2007MM01,10481
373,575,2007MM02,9449
374,576,2007MM03,10178
375,578,2007MM04,8952
376,579,2007MM05,9039
377,580,2007MM06,8967
378,582,2007MM07,8909
379,583,2007MM08,9035
380,584,2007MM09,9054
381,586,2007MM10,9728
382,587,2007MM11,9956
383,588,2007MM12,10279
384,591,2008MM01,10799
385,592,2008MM02,9917
386,593,2008MM03,10140
387,595,2008MM04,9002
388,596,2008MM05,9133
389,597,2008MM06,9002
390,599,2008MM07,8962
391,600,2008MM08,9026
392,601,2008MM09,9113
393,603,2008MM10,9922
394,604,2008MM11,9961
395,605,2008MM12,10289
396,608,2009MM01,10348
397,609,2009MM02,9303
398,610,2009MM03,9667
399,612,2009MM04,8445
400,613,2009MM05,8646
401,614,2009MM06,8643
402,616,2009MM07,8467
403,617,2009MM08,8314
404,618,2009MM09,8467
405,620,2009MM10,9588
406,621,2009MM11,9787
407,622,2009MM12,10061
408,625,2010MM01,10263
409,626,2010MM02,9366
410,627,2010MM03,9715
411,629,2010MM04,8624
412,630,2010MM05,8645
413,631,2010MM06,8947
414,633,2010MM07,8931
415,634,2010MM08,8885
416,635,2010MM09,8718
417,637,2010MM10,9717
418,638,2010MM11,10206
419,639,2010MM12,10664
420,642,2011MM01,10531
421,643,2011MM02,9415
422,644,2011MM03,9925
423,646,2011MM04,8664
424,647,2011MM05,8938
425,648,2011MM06,8735
426,650,2011MM07,8921
427,651,2011MM08,8900
428,652,2011MM09,8898
429,654,2011MM10,9820
430,655,2011MM11,10177
431,656,2011MM12,10631
432,659,2012MM01,10105
433,660,2012MM02,9615
434,661,2012MM03,10012
435,663,2012MM04,8644
436,664,2012MM05,8574
437,665,2012MM06,8750
438,667,2012MM07,8782
439,668,2012MM08,8731
440,669,2012MM09,8598
441,671,2012MM10,9418
442,672,2012MM11,9874
443,673,2012MM12,10278
444,676,2013MM01,10538
445,677,2013MM02,9407
446,678,2013MM03,9720
447,680,2013MM04,8597
448,681,2013MM05,8738
449,682,2013MM06,8692
450,684,2013MM07,8898
451,685,2013MM08,8804
452,686,2013MM09,8636
453,688,2013MM10,9386
454,689,2013MM11,9743
455,690,2013MM12,9940
456,693,2014MM01,10103
457,694,2014MM02,9044
458,695,2014MM03,9374
459,697,2014MM04,8613
460,698,2014MM05,8642
461,699,2014MM06,8469
462,701,2014MM07,8899
463,702,2014MM08,8405
464,703,2014MM09,8649
465,705,2014MM10,9328
466,706,2014MM11,9597
467,707,2014MM12,9980
468,710,2015MM01,10260
469,711,2015MM02,9147
470,712,2015MM03,9423
471,714,2015MM04,8412
472,715,2015MM05,8522
473,716,2015MM06,8454
474,718,2015MM07,8818
475,719,2015MM08,8674
476,720,2015MM09,8805
477,722,2015MM10,9410
478,723,2015MM11,9440
479,724,2015MM12,9848
480,727,2016MM01,9988
481,728,2016MM02,9392
482,729,2016MM03,9603
483,731,2016MM04,8657
484,732,2016MM05,8599
485,733,2016MM06,8573
486,735,2016MM07,8771
487,736,2016MM08,8747
488,737,2016MM09,8765
489,739,2016MM10,9394
490,740,2016MM11,9783
491,741,2016MM12,10189
492,744,2017MM01,10384
493,745,2017MM02,9249
494,746,2017MM03,9502
495,748,2017MM04,8492
496,749,2017MM05,8748
497,750,2017MM06,8703
498,752,2017MM07,8965
499,753,2017MM08,8813
500,754,2017MM09,8825
501,756,2017MM10,9527
502,757,2017MM11,9880
503,758,2017MM12,10405
504,761,2018MM01,10386
505,762,2018MM02,9548
506,763,2018MM03,10034
507,765,2018MM04,8786
508,766,2018MM05,9016
509,767,2018MM06,8865
510,769,2018MM07,9420
