YYYYMMDD,FG
2000-01,4.0
2000-02,4.6
2000-03,1.5
2000-04,1.9
2000-05,3.8
2000-06,3.4
2000-07,2.0
2000-08,2.0
2000-09,2.7
2000-10,2.9
2000-11,4.3
2000-12,2.8
2001-01,1.3
2001-02,3.5
2001-03,3.3
2001-04,3.5
2001-05,4.0
2001-06,3.0
2001-07,3.3
2001-08,1.9
2001-09,2.5
2001-10,3.1
2001-11,2.3
2001-12,3.0
2002-01,4.3
2002-02,6.5
2002-03,2.2
2002-04,2.8
2002-05,2.8
2002-06,2.5
2002-07,3.5
2002-08,1.8
2002-09,3.4
2002-10,1.6
2002-11,3.0
2002-12,5.4
2003-01,2.2
2003-02,2.3
2003-03,1.5
2003-04,2.7
2003-05,2.0
2003-06,2.5
2003-07,2.2
2003-08,2.5
2003-09,1.3
2003-10,2.9
2003-11,2.1
2003-12,1.7
2004-01,2.9
2004-02,1.2
2004-03,2.3
2004-04,2.0
2004-05,1.8
2004-06,2.7
2004-07,2.6
2004-08,2.3
2004-09,3.2
2004-10,3.9
2004-11,1.6
2004-12,2.1
2005-01,2.0
2005-02,3.0
2005-03,2.8
2005-04,2.8
2005-05,3.5
2005-06,2.5
2005-07,2.1
2005-08,2.1
2005-09,1.5
2005-10,3.5
2005-11,1.4
2005-12,2.5
2006-01,3.0
2006-02,3.8
2006-03,4.3
2006-04,3.1
2006-05,3.4
2006-06,1.9
2006-07,2.3
2006-08,2.5
2006-09,3.0
2006-10,3.1
2006-11,2.5
2006-12,1.1
2007-01,6.4
2007-02,2.3
2007-03,2.3
2007-04,2.3
2007-05,1.8
2007-06,2.3
2007-07,3.5
2007-08,1.9
2007-09,1.4
2007-10,2.3
2007-11,4.0
2007-12,3.4
2008-01,5.2
2008-02,2.5
2008-03,4.0
2008-04,2.3
2008-05,2.5
2008-06,2.3
2008-07,2.8
2008-08,2.7
2008-09,2.8
2008-10,2.3
2008-11,3.0
2008-12,1.3
2009-01,2.0
2009-02,2.3
2009-03,3.0
2009-04,2.0
2009-05,2.0
2009-06,2.1
2009-07,3.0
2009-08,2.3
2009-09,2.8
2009-10,2.0
2009-11,3.5
2009-12,4.1
2010-01,2.5
2010-02,2.1
2010-03,3.6
2010-04,2.4
2010-05,2.9
2010-06,1.8
2010-07,2.2
2010-08,2.3
2010-09,1.6
2010-10,3.5
2010-11,1.9
2010-12,1.8
2011-01,3.2
2011-02,3.0
2011-03,1.7
2011-04,2.5
2011-05,2.5
2011-06,2.3
2011-07,2.5
2011-08,2.1
2011-09,2.3
2011-10,2.3
2011-11,2.0
2011-12,4.8
2012-01,1.9
2012-02,3.8
2012-03,3.0
2012-04,3.2
2012-05,3.0
2012-06,2.6
2012-07,2.0
2012-08,2.3
2012-09,2.0
2012-10,1.6
2012-11,2.5
2012-12,4.1
2013-01,2.5
2013-02,3.5
2013-03,1.9
2013-04,3.9
2013-05,2.5
2013-06,3.5
2013-07,2.3
2013-08,3.1
2013-09,2.1
2013-10,2.2
2013-11,4.2
2013-12,2.8
2014-01,5.0
2014-02,5.0
2014-03,2.8
2014-04,2.0
2014-05,2.6
2014-06,2.3
2014-07,1.8
2014-08,2.4
2014-09,3.5
2014-10,2.9
2014-11,2.6
2014-12,5.6
2015-01,3.0
2015-02,3.2
2015-03,2.0
2015-04,3.4
2015-05,3.0
2015-06,2.5
2015-07,2.8
2015-08,2.9
2015-09,2.8
2015-10,1.5
2015-11,1.7
2015-12,5.5
2016-01,3.3
2016-02,2.3
2016-03,2.8
2016-04,2.2
2016-05,3.6
2016-06,2.8
2016-07,2.5
2016-08,2.5
2016-09,1.8
2016-10,1.4
2016-11,2.3
2016-12,2.0
2017-01,2.0
2017-02,3.3
2017-03,1.9
2017-04,2.2
2017-05,2.6
2017-06,2.6
2017-07,2.9
2017-08,2.0
2017-09,2.3
2017-10,5.0
2017-11,2.8
2017-12,6.2
2018-01,5.0
2018-02,2.3
2018-03,2.8
2018-04,2.0
2018-05,2.5
2018-06,2.9
2018-07,2.4
2018-08,1.9
2018-09,2.4
2018-10,2.6
2018-11,2.7
2018-12,1.6
2019-01,1.7
2019-02,3.2
2019-03,2.5
2019-04,2.8
2019-05,2.5
2019-06,3.0
2019-07,2.5
2019-08,1.4
2019-09,3.6
2019-10,2.0
2019-11,1.7
2019-12,3.6
2020-01,1.5
2020-02,3.8
2020-03,4.0
2020-04,2.8
2020-05,2.5
2020-06,2.5
2020-07,2.0
2020-08,3.2
2020-09,1.4
2020-10,3.3
2020-11,3.4
2020-12,3.0
2021-01,2.8
2021-02,2.0
2021-03,5.0
2021-04,3.5
2021-05,1.8
2021-06,2.5
2021-07,1.8
2021-08,3.5
2021-09,2.4
2021-10,3.6
2021-11,1.8
2021-12,3.5
2022-01,1.5
2022-02,4.7
2022-03,3.0
2022-04,2.0
2022-05,2.2
2022-06,2.8
2022-07,2.4
2022-08,2.0
2022-09,2.5
2022-10,4.6
